Channel;Broadcastingdate;Exactspotbroadcastingtime;GRPmen;ContactsMen;NetCost
HD1;17/12/16;07:14:55;0,152729;88543;139,98
HD1;17/12/16;08:43:20;0,272312;157870;123,03
HD1;17/12/16;10:03:52;0,37609;218034;357,56
HD1;17/12/16;16:31:53;0,336423;195038;111,1
HD1;18/12/16;10:52:59;0,357453;207230;369,34
HD1;18/12/16;16:42:57;0,431153;249957;428,6
HD1;18/12/16;18:27:08;0,467007;270743;282,26
HD1;18/12/16;20:57:58;0,471624;273419;497,72
HD1;19/12/16;08:50:49;0,248687;144174;289,03
HD1;19/12/16;10:30:50;0,114791;66549;159,01
HD1;19/12/16;12:24:45;0,016031;9294;17,98
HD1;19/12/16;15:51:42;0,507635;294296;388,84
HD1;19/12/16;23:08:27;0,634508;367850;1461,07
HD1;20/12/16;09:00:25;0,292964;169843;286,45
HD1;20/12/16;14:23:14;0,093103;53976;62,27
HD1;20/12/16;15:57:22;0,39746;230423;279,26
HD1;21/12/16;11:40:31;0,067167;38939;105,47
HD1;21/12/16;13:35:44;0,124036;71909;111,8
HD1;21/12/16;14:55:15;0,307744;178412;129,52
HD1;21/12/16;18:08:40;0,368708;213755;283,6
HD1;22/12/16;09:22:58;0,151429;87789;206,52
HD1;22/12/16;10:32:01;0,15375;89135;274,04
HD1;22/12/16;11:24:37;0,07579;43938;38,19
HD1;22/12/16;13:48:22;0,092736;53763;98,7
HD1;22/12/16;15:52:45;0,431726;250289;393,75
HD1;22/12/16;18:17:42;0,226172;131121;301,3
HD1;23/12/16;08:54:07;0,209504;121458;342,48
HD1;23/12/16;13:22:46;0,050625;29349;64,29
HD1;23/12/16;23:12:39;0,241326;139906;262,49
HD1;24/12/16;08:46:41;0,282164;163582;247,34
HD1;24/12/16;09:17:10;0,307377;178199;214,24
HD1;24/12/16;11:06:42;0,334116;193700;317,11
HD1;24/12/16;15:13:14;0,335524;194517;271,71
HD1;25/12/16;11:27:13;0,265286;153797;229,73
HD1;25/12/16;12:47:09;0,20541;119084;127,59
HD1;25/12/16;15:18:28;0,248307;143954;130,53
HD1;25/12/16;16:19:09;0,341432;197942;230,93
HD1;25/12/16;16:52:47;0,391934;227220;260,63
HD1;25/12/16;22:00:25;0,200639;116318;310,76
HD1;26/12/16;09:43:58;0,265348;153833;270,16
HD1;26/12/16;10:35:40;0,353855;205144;539,82
HD1;26/12/16;11:27:11;0,219704;127371;274,85
HD1;26/12/16;14:31:04;0,344518;199731;130,87
HD1;26/12/16;17:41:55;0,245151;142124;138,35
HD1;27/12/16;13:17:25;0,383812;222511;283,99
HD1;27/12/16;14:28:48;0,3369;195314;272,36
HD1;27/12/16;18:16:13;0,298011;172769;363,4
HD1;28/12/16;09:04:06;0,244626;141819;99,54
HD1;28/12/16;11:22:35;0,376726;218403;273,19
HD1;28/12/16;11:49:04;0,481484;279136;393,1
HD1;28/12/16;13:16:41;0,297245;172325;211,51
HD1;28/12/16;16:11:26;0,297414;172423;379,14
HD1;28/12/16;20:12:43;0,111629;64716;137,84
HD1;28/12/16;22:27:13;0,865909;502002;422,93
HD1;29/12/16;14:26:25;0,237339;137595;211,28
HD1;29/12/16;17:36:56;0,242551;140617;414,14
HD1;29/12/16;20:11:08;0,219305;127140;386,55
HD1;30/12/16;08:09:55;0,15325;88845;54,67
HD1;30/12/16;09:30:29;0,311484;180580;368,21
HD1;30/12/16;11:46:22;0,498779;289162;591,84
HD1;30/12/16;18:40:13;0,548782;318151;526,66
HD1;30/12/16;20:20:31;0,193532;112198;0,5
HD1;31/12/16;07:47:29;0,221324;128310;152,37
HD1;31/12/16;08:38:27;0,298725;173183;280,53
HD1;31/12/16;09:07:19;0,33915;196619;400,05
HD1;31/12/16;09:57:40;0,258807;150041;332,45
HD1;31/12/16;10:25:36;0,31507;182659;424,13
HD1;31/12/16;11:50:34;0,337542;195687;294,2
HD1;31/12/16;12:22:31;0,262351;152095;247,81
HD1;31/12/16;12:53:39;0,173364;100506;212,85
HD1;31/12/16;15:11:24;0,231058;133954;73,46
HD1;31/12/16;16:58:25;0,351967;204049;0,5
HD1;31/12/16;19:44:05;0,445329;258175;0,5
HD1;01/01/17;07:49:27;0,16295;94469;140,5
HD1;01/01/17;10:46:10;0,227204;131719;121,2
HD1;01/01/17;12:28:36;0,252049;146123;351,23
HD1;01/01/17;13:43:54;0,198474;115063;119,56
HD1;01/01/17;16:14:35;0,450506;261176;218,9
HD1;01/01/17;16:56:32;0,606543;351637;379,42
HD1;01/01/17;18:14:25;0,350984;203479;329,67
HD1;01/01/17;18:37:39;0,297603;172532;157,79
HD1;01/01/17;19:20:48;0,324542;188150;176,26
